zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,0,0,1,1.3862943611198906,4.2626798770413155,7.438971592395862
0,1,0,0,0.6931471805599453,3.1354942159291497,13.70122253263775
0,0,0,1,1.3862943611198906,5.153291594497779,8.987321812850125
0,1,0,0,1.3862943611198906,4.90527477843843,7.989899374942939
0,1,0,0,1.0986122886681096,4.110873864173311,7.359467638255621
0,1,0,0,1.0986122886681096,4.02535169073515,7.00397413672268
0,0,0,1,0.6931471805599453,4.110873864173311,7.8636512654486515
1,0,0,0,1.0986122886681096,3.828641396489095,7.00397413672268
0,1,0,0,1.0986122886681096,3.9318256327243257,7.313886831633462
0,0,0,1,1.0986122886681096,4.276666119016055,7.637234388789473
0,1,0,0,1.0986122886681096,4.2626798770413155,7.170888478512505
0,0,0,1,0.6931471805599453,4.007333185232471,8.881975184248867
0,0,0,1,1.0986122886681096,4.127134385045092,7.052721049232323
0,0,1,0,1.0986122886681096,4.07753744390572,8.412054873292933
0,0,1,0,1.0986122886681096,3.6375861597263857,7.640603826393634
1,0,0,0,0.6931471805599453,4.2626798770413155,7.313886831633462
0,0,0,1,1.3862943611198906,4.394449154672439,8.071218539969863
0,1,0,0,1.0986122886681096,4.330733340286331,7.149131598557407
0,0,1,0,1.0986122886681096,4.442651256490317,8.333510708982942
1,0,0,0,1.0986122886681096,3.9318256327243257,6.90875477931522
0,0,0,1,1.0986122886681096,4.2626798770413155,7.696667081526462
1,0,0,0,1.3862943611198906,4.219507705176107,7.244941546337007
0,0,0,1,1.6094379124341003,5.484796933490655,8.412054873292933
1,0,0,0,1.3862943611198906,4.143134726391533,7.0909098220799835
0,1,0,0,1.0986122886681096,3.8501476017100584,7.5352967024440884
0,0,1,0,1.3862943611198906,4.584967478670572,8.699681400989514
1,0,0,0,1.6094379124341003,5.860786223465865,9.287394001418473
0,0,1,0,1.3862943611198906,4.736198448394496,7.901377353792616
0,0,1,0,0.6931471805599453,3.367295829986474,7.601402334583733
0,0,0,1,1.3862943611198906,5.25227342804663,8.343077871169383
0,1,0,0,1.3862943611198906,4.51085950651685,7.293697720601438
0,0,1,0,0.6931471805599453,4.2626798770413155,8.556606193773073
1,0,0,0,1.0986122886681096,4.418840607796598,7.976251943745623
0,0,0,1,0.6931471805599453,3.6635616461296463,7.589335823170617
0,0,1,0,1.3862943611198906,4.77912349311153,8.343077871169383
1,0,0,0,1.0986122886681096,5.081404364984463,8.412054873292933
0,0,0,1,1.0986122886681096,4.330733340286331,7.696667081526462
0,1,0,0,1.0986122886681096,3.9318256327243257,7.0909098220799835
